path,duration_sec,width,height,fps,sampled_frames,brightness,contrast,sharpness,black_ratio,overexposed_ratio,motion_score,duplicate_rate,quality_score,decision,issues
benchmark_videos/black_static.mp4,5.0,640,360,24.0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,reject,too_dark;low_contrast;blurry_or_flat;black_frame_risk;low_motion;duplicate_frames
benchmark_videos/blurry_motion.mp4,5.0,640,360,24.0,5,125.08,61.63,2.97,0.0,0.0,7.71,0.0,86.0,review,blurry_or_flat
benchmark_videos/bright_motion.mp4,5.0,640,360,24.0,5,179.83,39.75,3.68,0.0,0.0008,6.49,0.0,100.0,accept,none
benchmark_videos/colorbars_static.mp4,5.0,640,360,24.0,5,92.5,70.87,2.18,0.1454,0.0413,0.0,1.0,66.0,review,blurry_or_flat;low_motion;duplicate_frames
benchmark_videos/dark_motion.mp4,5.0,640,360,24.0,5,70.02,38.38,3.19,0.0158,0.0,7.8,0.0,86.0,review,blurry_or_flat
benchmark_videos/good_motion_testsrc.mp4,5.0,640,360,24.0,5,125.0,81.67,5.07,0.1221,0.0995,7.76,0.0,100.0,accept,none
benchmark_videos/good_motion_testsrc2.mp4,5.0,640,360,24.0,5,125.21,63.42,3.63,0.0009,0.0,8.14,0.0,100.0,accept,none
benchmark_videos/good_widescreen_motion.mp4,5.0,854,480,24.0,5,126.1,63.1,3.64,0.0001,0.0,6.73,0.0,100.0,accept,none
benchmark_videos/gray_static.mp4,5.0,640,360,24.0,5,126.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,reject,low_contrast;blurry_or_flat;low_motion;duplicate_frames
benchmark_videos/low_contrast_motion.mp4,5.0,640,360,24.0,5,126.73,19.82,1.36,0.0,0.0,3.01,0.0,86.0,review,blurry_or_flat
benchmark_videos/low_res_static.mp4,5.0,256,144,24.0,5,126.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,reject,low_resolution;low_contrast;blurry_or_flat;low_motion;duplicate_frames
benchmark_videos/low_resolution_motion.mp4,5.0,256,144,24.0,5,117.22,64.61,5.25,0.0038,0.0,14.73,0.0,90.0,review,low_resolution
benchmark_videos/noisy_motion.mp4,5.0,640,360,24.0,5,125.35,63.18,4.36,0.001,0.0,8.92,0.0,100.0,accept,none
benchmark_videos/short_motion.mp4,1.0,640,360,24.0,1,125.83,63.87,3.55,0.0013,0.0,0.0,0.0,70.0,review,too_short;low_motion;insufficient_samples
benchmark_videos/vertical_motion.mp4,5.0,360,640,24.0,5,125.35,63.24,3.03,0.0002,0.0,7.05,0.0,76.0,review,low_resolution;blurry_or_flat
benchmark_videos/white_static.mp4,5.0,640,360,24.0,5,253.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,reject,too_bright;low_contrast;blurry_or_flat;overexposed;low_motion;duplicate_frames
